,uniprot_id,dms_id,protein_name,dms_name,Ascan_id,dmsa_id,assumed_compatibility,regularized_correlation
0,P0CG63,urn:mavedb:00000038-b-1,Ubiquitin,UBI_Excess-E1-Mid,ub_free,urn:mavedb:00000038-b-1@ub_free,Medium,0.333333333
1,P0CG63,urn:mavedb:00000038-b-1,Ubiquitin,UBI_Excess-E1-Mid,ub_growth,urn:mavedb:00000038-b-1@ub_growth,Medium,0.333333333
2,P0CG63,urn:mavedb:00000038-b-1,Ubiquitin,UBI_Excess-E1-Mid,ub_poly,urn:mavedb:00000038-b-1@ub_poly,Medium,0.333333333
3,P0CG63,urn:mavedb:00000038-b-1,Ubiquitin,UBI_Excess-E1-Mid,,urn:mavedb:00000038-b-1@nan,,
4,P0CG63,urn:mavedb:00000038-b-2,Ubiquitin,UBI_Excess-E1-Tail,ub_free,urn:mavedb:00000038-b-2@ub_free,Medium,0
5,P0CG63,urn:mavedb:00000038-b-2,Ubiquitin,UBI_Excess-E1-Tail,ub_growth,urn:mavedb:00000038-b-2@ub_growth,Medium,0
6,P0CG63,urn:mavedb:00000038-b-2,Ubiquitin,UBI_Excess-E1-Tail,ub_poly,urn:mavedb:00000038-b-2@ub_poly,Medium,0
7,P0CG63,urn:mavedb:00000038-b-2,Ubiquitin,UBI_Excess-E1-Tail,,urn:mavedb:00000038-b-2@nan,,
8,P0CG63,urn:mavedb:00000037-a-1,Ubiquitin,UBI_Growth,ub_free,urn:mavedb:00000037-a-1@ub_free,Medium,0.597943712
9,P0CG63,urn:mavedb:00000037-a-1,Ubiquitin,UBI_Growth,ub_growth,urn:mavedb:00000037-a-1@ub_growth,High,0.736637896
10,P0CG63,urn:mavedb:00000037-a-1,Ubiquitin,UBI_Growth,ub_poly,urn:mavedb:00000037-a-1@ub_poly,Medium,-0.014883623
11,P0CG63,urn:mavedb:00000037-a-1,Ubiquitin,UBI_Growth,,urn:mavedb:00000037-a-1@nan,,
12,P0CG63,urn:mavedb:00000038-a-1,Ubiquitin,UBI_Less-E1,ub_free,urn:mavedb:00000038-a-1@ub_free,Medium,0.203671281
13,P0CG63,urn:mavedb:00000038-a-1,Ubiquitin,UBI_Less-E1,ub_growth,urn:mavedb:00000038-a-1@ub_growth,Medium,0.068457845
14,P0CG63,urn:mavedb:00000038-a-1,Ubiquitin,UBI_Less-E1,ub_poly,urn:mavedb:00000038-a-1@ub_poly,Medium,-0.039202572
15,P0CG63,urn:mavedb:00000038-a-1,Ubiquitin,UBI_Less-E1,,urn:mavedb:00000038-a-1@nan,,
16,P0CG63,E1_Ubiquitin,Ubiquitin,UBI_Less-E1-Envision,ub_free,E1_Ubiquitin@ub_free,Medium,0.12244898
17,P0CG63,E1_Ubiquitin,Ubiquitin,UBI_Less-E1-Envision,ub_growth,E1_Ubiquitin@ub_growth,Medium,-0.094845184
18,P0CG63,E1_Ubiquitin,Ubiquitin,UBI_Less-E1-Envision,ub_poly,E1_Ubiquitin@ub_poly,Medium,-0.167420084
19,P0CG63,E1_Ubiquitin,Ubiquitin,UBI_Less-E1-Envision,,E1_Ubiquitin@nan,,
